instance,energy,probability [%]
P8_AC3_1,-1285.2001572136542,0.22
P8_AC3_2,-1270.827591244952,0.22
P8_AC3_3,-1275.2414715713596,0.22
P8_AC3_4,-1290.0225953302934,0.22
P8_AC3_5,-1269.983319497496,0.22
P8_AC3_6,-1260.763715460189,0.22
P8_AC3_7,-1272.6492347261994,0.22
P8_AC3_8,-1298.9587234677415,0.22
P8_AC3_9,-1269.7110974446252,0.22
P8_AC3_10,-1271.5323125965758,0.22
P8_AC3_11,-1282.6880436744177,0.22
P8_AC3_12,-1270.295903939775,0.22
P8_AC3_13,-1302.018680346844,0.22
P8_AC3_14,-1270.9551979888213,0.22
P8_AC3_15,-1272.6984097859772,0.22
P8_AC3_16,-1285.732794748967,0.22
P8_AC3_17,-1277.3820934457017,0.22
P8_AC3_18,-1284.667101206178,0.22
P8_AC3_19,-1256.7902327311213,0.22
P8_AC3_20,-1272.670866872346,0.22
P8_AC3_21,-1258.4721105622446,0.22
P8_AC3_22,-1281.724150725703,0.22
P8_AC3_23,-1267.2257693826912,0.22
P8_AC3_24,-1278.8856186337384,0.22
P8_AC3_25,-1286.8408540753182,0.22
P8_AC3_26,-1266.4051315090337,0.22
P8_AC3_27,-1299.6575743310757,0.22
P8_AC3_28,-1272.5329185387416,0.22
P8_AC3_29,-1254.7270932214612,0.22
P8_AC3_30,-1284.9674411839128,0.22
P8_AC3_31,-1275.8619324513818,0.22
P8_AC3_32,-1271.1519775701736,0.22
P8_AC3_33,-1260.461398481602,0.22
P8_AC3_34,-1265.6036635078383,0.22
P8_AC3_35,-1288.2460441419382,0.22
P8_AC3_36,-1269.3822046379305,0.22
P8_AC3_37,-1282.9642240394269,0.22
P8_AC3_38,-1257.8840741894917,0.22
P8_AC3_39,-1277.3174110940872,0.22
P8_AC3_40,-1289.1029904050567,0.22
P8_AC3_41,-1292.2488989016445,0.22
P8_AC3_42,-1281.7438439382042,0.22
P8_AC3_43,-1277.309553706623,0.22
P8_AC3_44,-1298.1208261211495,0.22
P8_AC3_45,-1279.5012443530836,0.22
P8_AC3_46,-1299.2801240036756,0.22
P8_AC3_47,-1261.3336648932025,0.22
P8_AC3_48,-1290.0816348403366,0.22
P8_AC3_49,-1279.047538829142,0.22
P8_AC3_50,-1273.058723011308,0.22
P8_AC3_51,-1286.6242079395167,0.22
P8_AC3_52,-1289.6330691931237,0.22
P8_AC3_53,-1272.235798528877,0.22
P8_AC3_54,-1284.6718163658998,0.22
P8_AC3_55,-1261.6530725666769,0.22
P8_AC3_56,-1267.8689692287107,0.22
P8_AC3_57,-1275.5464151995543,0.22
P8_AC3_58,-1281.755058218874,0.22
P8_AC3_59,-1314.8005452477069,0.22
P8_AC3_60,-1287.518488110603,0.22
P8_AC3_61,-1290.9131956944711,0.22
P8_AC3_62,-1293.1029458923206,0.22
P8_AC3_63,-1271.709927607063,0.22
P8_AC3_64,-1287.5707798914875,0.22
P8_AC3_65,-1254.8133772693868,0.22
P8_AC3_66,-1273.0879886264618,0.22
P8_AC3_67,-1273.5369019514742,0.22
P8_AC3_68,-1268.493639952216,0.22
P8_AC3_69,-1272.45435461871,0.22
P8_AC3_70,-1257.61162802985,0.22
P8_AC3_71,-1266.171629683348,0.22
P8_AC3_72,-1280.7798294037036,0.22
P8_AC3_73,-1291.68018931442,0.22
P8_AC3_74,-1295.3383538153312,0.22
P8_AC3_75,-1277.7859848535024,0.22
P8_AC3_76,-1286.8564769724103,0.22
P8_AC3_77,-1268.7050171415167,0.22
P8_AC3_78,-1284.1386387240384,0.22
P8_AC3_79,-1282.0305849142735,0.22
P8_AC3_80,-1257.1758869310488,0.22
P8_AC3_81,-1259.2300590116222,0.22
P8_AC3_82,-1267.8921786802289,0.22
P8_AC3_83,-1257.178902626869,0.22
P8_AC3_84,-1259.2948055054646,0.22
P8_AC3_85,-1273.6705101481762,0.22
P8_AC3_86,-1269.2708509010308,0.22
P8_AC3_87,-1289.0625566198655,0.22
P8_AC3_88,-1290.8971184663565,0.22
P8_AC3_89,-1278.7245705656264,0.22
P8_AC3_90,-1271.6110772361712,0.22
P8_AC3_91,-1265.892754623855,0.22
P8_AC3_92,-1282.189825243386,0.22
P8_AC3_93,-1274.005006586038,0.22
P8_AC3_94,-1292.2370035807753,0.22
P8_AC3_95,-1274.0165385634011,0.22
P8_AC3_96,-1282.723252371636,0.22
P8_AC3_97,-1261.4232009903585,0.22
P8_AC3_98,-1272.6481470354288,0.22
P8_AC3_99,-1278.7570405810206,0.22
P8_AC3_100,-1280.3316728826244,0.22
