instance,energy,probability [%]
P8_CBFM-P_1,-2742.0,0.22
P8_CBFM-P_2,-2762.0,4.04
P8_CBFM-P_3,-2715.0,56.85
P8_CBFM-P_4,-2741.0,2.25
P8_CBFM-P_5,-2751.0,52.81
P8_CBFM-P_6,-2766.0,9.66
P8_CBFM-P_7,-2741.0,1.35
P8_CBFM-P_8,-2737.0,1.8
P8_CBFM-P_9,-2777.0,4.04
P8_CBFM-P_10,-2719.0,31.46
P8_CBFM-P_11,-2745.0,0.45
P8_CBFM-P_12,-2724.0,0.45
P8_CBFM-P_13,-2673.0,0.67
P8_CBFM-P_14,-2723.0,0.45
P8_CBFM-P_15,-2703.0,1.35
P8_CBFM-P_16,-2754.0,0.22
P8_CBFM-P_17,-2681.0,0.22
P8_CBFM-P_18,-2734.0,5.84
P8_CBFM-P_19,-2726.0,7.42
P8_CBFM-P_20,-2791.0,0.22
P8_CBFM-P_21,-2744.0,2.25
P8_CBFM-P_22,-2739.0,0.67
P8_CBFM-P_23,-2729.0,1.57
P8_CBFM-P_24,-2722.0,0.9
P8_CBFM-P_25,-2701.0,0.22
P8_CBFM-P_26,-2701.0,4.27
P8_CBFM-P_27,-2747.0,21.35
P8_CBFM-P_28,-2702.0,0.22
P8_CBFM-P_29,-2743.0,1.35
P8_CBFM-P_30,-2701.0,1.35
P8_CBFM-P_31,-2696.0,8.99
P8_CBFM-P_32,-2691.0,0.22
P8_CBFM-P_33,-2717.0,0.22
P8_CBFM-P_34,-2687.0,0.9
P8_CBFM-P_35,-2736.0,0.22
P8_CBFM-P_36,-2731.0,3.37
P8_CBFM-P_37,-2710.0,0.22
P8_CBFM-P_38,-2727.0,2.02
P8_CBFM-P_39,-2710.0,17.75
P8_CBFM-P_40,-2691.0,0.45
P8_CBFM-P_41,-2734.0,1.57
P8_CBFM-P_42,-2666.0,1.35
P8_CBFM-P_43,-2796.0,0.22
P8_CBFM-P_44,-2734.0,0.67
P8_CBFM-P_45,-2713.0,0.22
P8_CBFM-P_46,-2676.0,1.35
P8_CBFM-P_47,-2750.0,8.31
P8_CBFM-P_48,-2735.0,14.38
P8_CBFM-P_49,-2738.0,0.45
P8_CBFM-P_50,-2742.0,1.8
P8_CBFM-P_51,-2712.0,1.57
P8_CBFM-P_52,-2717.0,4.27
P8_CBFM-P_53,-2735.0,0.9
P8_CBFM-P_54,-2729.0,0.67
P8_CBFM-P_55,-2717.0,0.22
P8_CBFM-P_56,-2752.0,20.67
P8_CBFM-P_57,-2748.0,0.9
P8_CBFM-P_58,-2732.0,0.22
P8_CBFM-P_59,-2731.0,0.22
P8_CBFM-P_60,-2754.0,9.21
P8_CBFM-P_61,-2740.0,75.51
P8_CBFM-P_62,-2710.0,0.22
P8_CBFM-P_63,-2705.0,1.12
P8_CBFM-P_64,-2772.0,6.29
P8_CBFM-P_65,-2737.0,24.49
P8_CBFM-P_66,-2729.0,0.22
P8_CBFM-P_67,-2719.0,3.15
P8_CBFM-P_68,-2774.0,0.22
P8_CBFM-P_69,-2729.0,0.22
P8_CBFM-P_70,-2752.0,2.7
P8_CBFM-P_71,-2708.0,0.67
P8_CBFM-P_72,-2749.0,0.9
P8_CBFM-P_73,-2694.0,1.12
P8_CBFM-P_74,-2719.0,0.67
P8_CBFM-P_75,-2765.0,0.22
P8_CBFM-P_76,-2757.0,0.9
P8_CBFM-P_77,-2655.0,1.12
P8_CBFM-P_78,-2746.0,7.19
P8_CBFM-P_79,-2741.0,4.27
P8_CBFM-P_80,-2714.0,2.02
P8_CBFM-P_81,-2782.0,0.22
P8_CBFM-P_82,-2758.0,0.9
P8_CBFM-P_83,-2682.0,4.04
P8_CBFM-P_84,-2729.0,62.7
P8_CBFM-P_85,-2722.0,16.63
P8_CBFM-P_86,-2705.0,0.22
P8_CBFM-P_87,-2767.0,0.22
P8_CBFM-P_88,-2715.0,4.72
P8_CBFM-P_89,-2737.0,2.47
P8_CBFM-P_90,-2750.0,0.22
P8_CBFM-P_91,-2753.0,0.67
P8_CBFM-P_92,-2699.0,25.17
P8_CBFM-P_93,-2717.0,0.67
P8_CBFM-P_94,-2779.0,0.22
P8_CBFM-P_95,-2747.0,0.22
P8_CBFM-P_96,-2719.0,36.4
P8_CBFM-P_97,-2725.0,40.9
P8_CBFM-P_98,-2747.0,0.45
P8_CBFM-P_99,-2773.0,8.31
P8_CBFM-P_100,-2764.0,42.25
