instance,energy,probability [%]
P16_CBFM-P_1,-12772.0,0.22
P16_CBFM-P_2,-12703.0,0.22
P16_CBFM-P_3,-12728.0,0.45
P16_CBFM-P_4,-12666.0,0.45
P16_CBFM-P_5,-12826.0,0.22
P16_CBFM-P_6,-12618.0,0.45
P16_CBFM-P_7,-12742.0,0.22
P16_CBFM-P_8,-12707.0,0.22
P16_CBFM-P_9,-12784.0,1.12
P16_CBFM-P_10,-12785.0,0.22
P16_CBFM-P_11,-12905.0,0.22
P16_CBFM-P_12,-12730.0,0.22
P16_CBFM-P_13,-12744.0,0.22
P16_CBFM-P_14,-12705.0,0.67
P16_CBFM-P_15,-12853.0,0.22
P16_CBFM-P_16,-12756.0,0.22
P16_CBFM-P_17,-12793.0,0.45
P16_CBFM-P_18,-12794.0,0.45
P16_CBFM-P_19,-12760.0,0.22
P16_CBFM-P_20,-12722.0,0.22
P16_CBFM-P_21,-12685.0,0.22
P16_CBFM-P_22,-12758.0,0.45
P16_CBFM-P_23,-12831.0,0.22
P16_CBFM-P_24,-12744.0,0.45
P16_CBFM-P_25,-12830.0,0.22
P16_CBFM-P_26,-12835.0,0.22
P16_CBFM-P_27,-12766.0,0.45
P16_CBFM-P_28,-12793.0,0.22
P16_CBFM-P_29,-12843.0,0.22
P16_CBFM-P_30,-12799.0,0.22
P16_CBFM-P_31,-12798.0,0.22
P16_CBFM-P_32,-12705.0,0.22
P16_CBFM-P_33,-12842.0,0.67
P16_CBFM-P_34,-12723.0,0.22
P16_CBFM-P_35,-12772.0,0.22
P16_CBFM-P_36,-12682.0,0.22
P16_CBFM-P_37,-12855.0,0.22
P16_CBFM-P_38,-12832.0,0.67
P16_CBFM-P_39,-12663.0,0.22
P16_CBFM-P_40,-12704.0,0.45
P16_CBFM-P_41,-12787.0,0.22
P16_CBFM-P_42,-12730.0,0.22
P16_CBFM-P_43,-12797.0,0.22
P16_CBFM-P_44,-12871.0,0.22
P16_CBFM-P_45,-12747.0,0.45
P16_CBFM-P_46,-12812.0,0.45
P16_CBFM-P_47,-12719.0,0.45
P16_CBFM-P_48,-12740.0,0.22
P16_CBFM-P_49,-12846.0,0.22
P16_CBFM-P_50,-12786.0,0.22
P16_CBFM-P_51,-12768.0,0.67
P16_CBFM-P_52,-12710.0,0.22
P16_CBFM-P_53,-12766.0,0.45
P16_CBFM-P_54,-12738.0,0.22
P16_CBFM-P_55,-12938.0,0.22
P16_CBFM-P_56,-12848.0,0.67
P16_CBFM-P_57,-12801.0,0.22
P16_CBFM-P_58,-12813.0,0.22
P16_CBFM-P_59,-12812.0,0.22
P16_CBFM-P_60,-12623.0,0.45
P16_CBFM-P_61,-12717.0,0.45
P16_CBFM-P_62,-12758.0,0.22
P16_CBFM-P_63,-12783.0,0.22
P16_CBFM-P_64,-12812.0,0.45
P16_CBFM-P_65,-12714.0,0.22
P16_CBFM-P_66,-12748.0,0.22
P16_CBFM-P_67,-12803.0,0.9
P16_CBFM-P_68,-12820.0,0.22
P16_CBFM-P_69,-12830.0,0.67
P16_CBFM-P_70,-12715.0,0.22
P16_CBFM-P_71,-12797.0,0.45
P16_CBFM-P_72,-12742.0,0.22
P16_CBFM-P_73,-12699.0,0.22
P16_CBFM-P_74,-12752.0,0.22
P16_CBFM-P_75,-12774.0,0.22
P16_CBFM-P_76,-12659.0,0.45
P16_CBFM-P_77,-12831.0,0.22
P16_CBFM-P_78,-12744.0,0.22
P16_CBFM-P_79,-12761.0,0.22
P16_CBFM-P_80,-12769.0,1.35
P16_CBFM-P_81,-12849.0,0.22
P16_CBFM-P_82,-12613.0,0.22
P16_CBFM-P_83,-12789.0,0.22
P16_CBFM-P_84,-12783.0,0.22
P16_CBFM-P_85,-12758.0,0.22
P16_CBFM-P_86,-12687.0,0.22
P16_CBFM-P_87,-12783.0,0.22
P16_CBFM-P_88,-12731.0,0.45
P16_CBFM-P_89,-12829.0,0.67
P16_CBFM-P_90,-12735.0,0.22
P16_CBFM-P_91,-12732.0,0.22
P16_CBFM-P_92,-12816.0,0.45
P16_CBFM-P_93,-12797.0,0.45
P16_CBFM-P_94,-12740.0,0.22
P16_CBFM-P_95,-12783.0,0.22
P16_CBFM-P_96,-12699.0,0.45
P16_CBFM-P_97,-12692.0,0.22
P16_CBFM-P_98,-12830.0,0.22
P16_CBFM-P_99,-12814.0,0.22
P16_CBFM-P_100,-12747.0,0.22
