instance,energy,probability [%]
P4_RCO_1,-310.49684341797,5.33
P4_RCO_2,-305.75609921132644,2.33
P4_RCO_3,-317.22833559467114,28.0
P4_RCO_4,-310.0619059601692,2.33
P4_RCO_5,-309.57019663925576,3.67
P4_RCO_6,-306.78929178231374,1.33
P4_RCO_7,-307.0202788837208,10.67
P4_RCO_8,-320.3571864306687,1.67
P4_RCO_9,-313.79867376348204,0.33
P4_RCO_10,-294.5570446593914,0.33
P4_RCO_11,-315.94453100562964,9.67
P4_RCO_12,-320.9252182937552,27.67
P4_RCO_13,-316.49229627427366,4.0
P4_RCO_14,-318.25630446677224,6.0
P4_RCO_15,-304.7797545978465,1.67
P4_RCO_16,-316.2433883869836,23.33
P4_RCO_17,-317.4971634221128,8.33
P4_RCO_18,-312.02343104588925,3.67
P4_RCO_19,-318.43199968335097,4.0
P4_RCO_20,-317.3277497602544,1.33
P4_RCO_21,-308.74210694410215,8.33
P4_RCO_22,-321.7550699024928,4.0
P4_RCO_23,-318.2888264272649,19.67
P4_RCO_24,-323.95833043014494,1.33
P4_RCO_25,-305.65174512744426,19.0
P4_RCO_26,-320.75282940094337,6.33
P4_RCO_27,-321.9045544591449,1.0
P4_RCO_28,-315.41837649850817,5.67
P4_RCO_29,-308.7940404187042,1.67
P4_RCO_30,-306.229168227287,8.33
P4_RCO_31,-312.5840422922709,9.0
P4_RCO_32,-308.39987014002475,5.67
P4_RCO_33,-307.0545109908162,6.33
P4_RCO_34,-309.4492324419654,2.0
P4_RCO_35,-308.53906041585793,13.67
P4_RCO_36,-317.3331862693984,0.67
P4_RCO_37,-315.9528601522221,7.0
P4_RCO_38,-311.9356611301906,0.67
P4_RCO_39,-316.0608183914408,0.67
P4_RCO_40,-308.929463541458,22.67
P4_RCO_41,-309.4394892475821,3.0
P4_RCO_42,-315.1087063799582,0.33
P4_RCO_43,-314.5244959646055,7.67
P4_RCO_44,-309.439120686448,6.67
P4_RCO_45,-317.5795188421318,5.67
P4_RCO_46,-309.8603056768146,13.67
P4_RCO_47,-319.9681762330878,2.67
P4_RCO_48,-317.24554454852324,0.67
P4_RCO_49,-311.3852903314543,8.33
P4_RCO_50,-313.76491552855214,0.33
P4_RCO_51,-315.98537274415713,0.67
P4_RCO_52,-320.299910366663,8.0
P4_RCO_53,-324.29521795970857,0.33
P4_RCO_54,-312.1936704971599,3.0
P4_RCO_55,-332.8231545561511,1.33
P4_RCO_56,-308.74602503049624,9.0
P4_RCO_57,-312.72071546346234,3.67
P4_RCO_58,-301.73341459410227,0.33
P4_RCO_59,-314.0559229435045,3.0
P4_RCO_60,-308.793200158746,20.33
P4_RCO_61,-325.0921468484107,14.0
P4_RCO_62,-316.5124352965913,4.0
P4_RCO_63,-306.35383345711654,7.33
P4_RCO_64,-314.2068000932119,1.0
P4_RCO_65,-321.0105639574861,38.0
P4_RCO_66,-307.701837933612,5.33
P4_RCO_67,-315.6650301084278,1.33
P4_RCO_68,-305.9635315143829,5.0
P4_RCO_69,-318.7144506985186,14.0
P4_RCO_70,-302.9018557198484,1.0
P4_RCO_71,-310.5786217884667,3.67
P4_RCO_72,-325.09698274146865,30.0
P4_RCO_73,-327.07355891740883,3.67
P4_RCO_74,-306.0934552169487,2.0
P4_RCO_75,-309.68397084516755,8.67
P4_RCO_76,-306.0478626097171,26.0
P4_RCO_77,-306.5586588676457,4.0
P4_RCO_78,-305.73015288868766,3.0
P4_RCO_79,-302.7961270538286,0.33
P4_RCO_80,-309.0069926159465,6.33
P4_RCO_81,-308.7175145820215,1.33
P4_RCO_82,-315.58471861573577,3.67
P4_RCO_83,-312.3653642878853,1.33
P4_RCO_84,-304.0269517705915,6.0
P4_RCO_85,-316.9255767608495,14.67
P4_RCO_86,-310.2251497542735,7.33
P4_RCO_87,-319.64490199045974,19.33
P4_RCO_88,-328.5252456425558,0.67
P4_RCO_89,-307.774763288866,1.33
P4_RCO_90,-315.8024802142031,4.67
P4_RCO_91,-306.6073233422997,0.67
P4_RCO_92,-313.14160568134434,24.33
P4_RCO_93,-311.594982617432,7.67
P4_RCO_94,-305.22628136168765,10.33
P4_RCO_95,-309.2724761994278,10.33
P4_RCO_96,-312.07446708938903,6.33
P4_RCO_97,-313.5051260201012,33.33
P4_RCO_98,-319.7518662884161,13.67
P4_RCO_99,-312.8355035329984,4.0
P4_RCO_100,-321.82989591826407,23.33
