instance,energy,probability [%]
P4_AC3_1,-194.20454987225995,0.9
P4_AC3_2,-205.7717425663612,7.19
P4_AC3_3,-203.6121997422931,2.25
P4_AC3_4,-197.00461550842945,1.12
P4_AC3_5,-196.77710786734733,0.22
P4_AC3_6,-201.2449092533003,0.45
P4_AC3_7,-203.673887968531,0.45
P4_AC3_8,-205.0995721191919,0.45
P4_AC3_9,-203.36934819025868,0.22
P4_AC3_10,-201.6802103662125,4.94
P4_AC3_11,-207.767137860212,0.9
P4_AC3_12,-196.58358770275208,0.9
P4_AC3_13,-199.6324639563817,0.45
P4_AC3_14,-204.6727059984213,2.7
P4_AC3_15,-204.04089346809505,0.22
P4_AC3_16,-208.5192999269395,0.22
P4_AC3_17,-202.66891054813232,0.9
P4_AC3_18,-210.4465274774649,0.22
P4_AC3_19,-199.47069790812697,0.22
P4_AC3_20,-199.6928516320044,0.22
P4_AC3_21,-200.81995721598227,0.67
P4_AC3_22,-201.3274067294732,1.35
P4_AC3_23,-206.69368446141343,0.67
P4_AC3_24,-202.1934754996338,0.22
P4_AC3_25,-200.53585177357263,0.45
P4_AC3_26,-197.7192531679792,0.22
P4_AC3_27,-207.64611223677989,0.22
P4_AC3_28,-206.49778137851524,0.9
P4_AC3_29,-192.8822346106478,1.35
P4_AC3_30,-195.91790225310132,0.45
P4_AC3_31,-205.9442288570398,0.45
P4_AC3_32,-204.45076092746976,5.17
P4_AC3_33,-203.51904780798523,1.35
P4_AC3_34,-203.16228874442936,9.89
P4_AC3_35,-202.4375717863492,0.9
P4_AC3_36,-202.54537718389489,0.22
P4_AC3_37,-201.97362677463823,0.9
P4_AC3_38,-203.847094923816,0.22
P4_AC3_39,-205.05359476584945,1.8
P4_AC3_40,-207.52047968573007,0.22
P4_AC3_41,-200.8228220575859,1.12
P4_AC3_42,-207.1934244193789,0.22
P4_AC3_43,-208.6294488940732,2.7
P4_AC3_44,-201.70583295965665,0.45
P4_AC3_45,-206.1201110856552,0.22
P4_AC3_46,-201.3361329269364,0.22
P4_AC3_47,-198.68224727084964,1.12
P4_AC3_48,-199.29791153066893,0.22
P4_AC3_49,-193.07412460345944,7.42
P4_AC3_50,-201.35848891077225,2.92
P4_AC3_51,-197.62285272492852,0.67
P4_AC3_52,-192.27336403224248,0.45
P4_AC3_53,-201.67213548546368,0.22
P4_AC3_54,-204.21727541134777,0.67
P4_AC3_55,-203.6758296191672,0.9
P4_AC3_56,-206.3274814953936,0.67
P4_AC3_57,-200.47062696403108,0.22
P4_AC3_58,-202.87140754185023,3.15
P4_AC3_59,-202.62677136928147,0.67
P4_AC3_60,-212.64550560100304,1.12
P4_AC3_61,-195.7754322330396,1.57
P4_AC3_62,-198.6013243267362,0.45
P4_AC3_63,-191.9566040593754,0.67
P4_AC3_64,-198.697977876166,5.39
P4_AC3_65,-199.51194507432325,3.82
P4_AC3_66,-202.35894015987648,0.22
P4_AC3_67,-193.0050616303438,1.12
P4_AC3_68,-201.14022204372097,0.9
P4_AC3_69,-201.6022124869248,2.02
P4_AC3_70,-205.3907568837845,0.22
P4_AC3_71,-194.66829476694508,0.22
P4_AC3_72,-202.63238871399844,2.25
P4_AC3_73,-204.204551453906,13.48
P4_AC3_74,-199.76027292787808,0.45
P4_AC3_75,-203.17020250167985,0.45
P4_AC3_76,-203.06303581027905,0.67
P4_AC3_77,-199.3106357150132,0.22
P4_AC3_78,-195.7685093251949,0.22
P4_AC3_79,-206.02462977097449,6.74
P4_AC3_80,-202.7871201276168,0.22
P4_AC3_81,-199.16930390890985,0.45
P4_AC3_82,-199.08565927392445,0.67
P4_AC3_83,-213.85936834475905,0.22
P4_AC3_84,-208.34724027847489,19.1
P4_AC3_85,-207.64992324903253,0.9
P4_AC3_86,-204.2724203825288,0.22
P4_AC3_87,-196.09148058544125,0.22
P4_AC3_88,-198.78710483716264,0.9
P4_AC3_89,-185.707471734012,0.22
P4_AC3_90,-199.8972660717982,0.45
P4_AC3_91,-198.2629241360643,3.6
P4_AC3_92,-205.0343214904386,1.35
P4_AC3_93,-200.28906363168647,0.22
P4_AC3_94,-197.8406795053928,0.22
P4_AC3_95,-201.88443958159164,3.37
P4_AC3_96,-205.76198849758893,0.67
P4_AC3_97,-203.3389856437495,0.22
P4_AC3_98,-210.7575912419015,0.45
P4_AC3_99,-199.19604999813964,0.45
P4_AC3_100,-199.71721347343325,3.37
