instance,energy,probability [%]
P12_RCO_1,-4611.909564381214,0.22
P12_RCO_2,-4590.329939763743,0.22
P12_RCO_3,-4634.607931779161,0.22
P12_RCO_4,-4614.6626038806535,0.22
P12_RCO_5,-4577.769337808429,0.22
P12_RCO_6,-4597.698008791357,0.22
P12_RCO_7,-4579.740763036236,0.22
P12_RCO_8,-4604.444560688628,0.22
P12_RCO_9,-4603.651362268907,0.22
P12_RCO_10,-4593.456822274612,0.22
P12_RCO_11,-4610.692985407321,0.22
P12_RCO_12,-4578.886196221671,0.22
P12_RCO_13,-4632.293033233892,0.22
P12_RCO_14,-4618.860387749174,0.22
P12_RCO_15,-4602.761923606006,0.22
P12_RCO_16,-4574.917503107996,0.22
P12_RCO_17,-4603.232820644186,0.22
P12_RCO_18,-4596.969543922228,0.22
P12_RCO_19,-4573.911978194344,0.22
P12_RCO_20,-4573.679030124847,0.22
P12_RCO_21,-4596.2760579950855,0.22
P12_RCO_22,-4626.200780013467,0.22
P12_RCO_23,-4570.017042775798,0.22
P12_RCO_24,-4627.414451555431,0.22
P12_RCO_25,-4606.217864369112,0.22
P12_RCO_26,-4600.369356072719,0.22
P12_RCO_27,-4618.88964986448,0.22
P12_RCO_28,-4653.978406884268,0.22
P12_RCO_29,-4606.731245182545,0.22
P12_RCO_30,-4612.636601494631,0.22
P12_RCO_31,-4614.035576087624,0.22
P12_RCO_32,-4613.217974253761,0.22
P12_RCO_33,-4578.9208180243295,0.22
P12_RCO_34,-4584.60616741342,0.22
P12_RCO_35,-4573.4598653389485,0.22
P12_RCO_36,-4612.493755459268,0.22
P12_RCO_37,-4580.746527736169,0.22
P12_RCO_38,-4587.657463184212,0.22
P12_RCO_39,-4598.919837823355,0.22
P12_RCO_40,-4595.883043229599,0.22
P12_RCO_41,-4622.684544695107,0.22
P12_RCO_42,-4635.335292247657,0.22
P12_RCO_43,-4616.430656481541,0.22
P12_RCO_44,-4582.084649797128,0.22
P12_RCO_45,-4565.200255388064,0.22
P12_RCO_46,-4586.920915081762,0.22
P12_RCO_47,-4609.220026427427,0.22
P12_RCO_48,-4596.935011311821,0.22
P12_RCO_49,-4549.793670338724,0.22
P12_RCO_50,-4574.208979016689,0.22
P12_RCO_51,-4592.374774206305,0.22
P12_RCO_52,-4619.338674467393,0.22
P12_RCO_53,-4585.844321056239,0.22
P12_RCO_54,-4577.795839503405,0.22
P12_RCO_55,-4586.951455161666,0.22
P12_RCO_56,-4578.817287602548,0.22
P12_RCO_57,-4568.805162205575,0.22
P12_RCO_58,-4586.413383385709,0.22
P12_RCO_59,-4578.00582650652,0.22
P12_RCO_60,-4590.073742509911,0.22
P12_RCO_61,-4602.484272171161,0.22
P12_RCO_62,-4538.262971733402,0.22
P12_RCO_63,-4622.84973085758,0.22
P12_RCO_64,-4607.00761180463,0.22
P12_RCO_65,-4593.596688726017,0.22
P12_RCO_66,-4635.630700527836,0.22
P12_RCO_67,-4588.76644876304,0.22
P12_RCO_68,-4646.986396814156,0.22
P12_RCO_69,-4558.1189569876215,0.22
P12_RCO_70,-4610.237712957784,0.22
P12_RCO_71,-4572.763197573064,0.22
P12_RCO_72,-4598.139069940586,0.22
P12_RCO_73,-4570.048879681855,0.22
P12_RCO_74,-4576.578250306725,0.22
P12_RCO_75,-4577.857290091411,0.22
P12_RCO_76,-4569.886722534958,0.22
P12_RCO_77,-4559.249689569862,0.22
P12_RCO_78,-4615.377976691251,0.22
P12_RCO_79,-4553.624557507305,0.22
P12_RCO_80,-4555.992453453272,0.22
P12_RCO_81,-4575.129056589031,0.22
P12_RCO_82,-4554.52811998051,0.22
P12_RCO_83,-4591.294432954946,0.22
P12_RCO_84,-4557.88101030501,0.22
P12_RCO_85,-4604.94409754028,0.22
P12_RCO_86,-4619.141745424053,0.22
P12_RCO_87,-4585.681777404488,0.22
P12_RCO_88,-4587.557083755605,0.22
P12_RCO_89,-4562.577481908731,0.22
P12_RCO_90,-4618.633854717804,0.22
P12_RCO_91,-4603.479279998585,0.22
P12_RCO_92,-4600.362472473949,0.22
P12_RCO_93,-4564.340109670124,0.22
P12_RCO_94,-4612.19290333236,0.22
P12_RCO_95,-4609.813830454762,0.22
P12_RCO_96,-4627.402348149191,0.22
P12_RCO_97,-4610.92721833369,0.22
P12_RCO_98,-4625.294197537752,0.22
P12_RCO_99,-4621.740487521111,0.22
P12_RCO_100,-4592.573987681272,0.22
