instance,energy,probability [%]
P12_AC3_1,-3275.633220793283,0.22
P12_AC3_2,-3261.6482882540167,0.22
P12_AC3_3,-3253.894544042604,0.22
P12_AC3_4,-3250.576089154125,0.22
P12_AC3_5,-3273.6076703346807,0.22
P12_AC3_6,-3265.8847299005447,0.22
P12_AC3_7,-3242.520580847496,0.22
P12_AC3_8,-3240.3281247834834,0.22
P12_AC3_9,-3273.063115545819,0.22
P12_AC3_10,-3224.2141770209023,0.22
P12_AC3_11,-3264.155563784348,0.22
P12_AC3_12,-3248.1750177970625,0.22
P12_AC3_13,-3251.6148861481565,0.22
P12_AC3_14,-3268.22344681352,0.22
P12_AC3_15,-3267.9399139411885,0.22
P12_AC3_16,-3254.79840935359,0.22
P12_AC3_17,-3235.381461398015,0.22
P12_AC3_18,-3271.0178356030965,0.22
P12_AC3_19,-3261.3311687679698,0.22
P12_AC3_20,-3248.050695505057,0.22
P12_AC3_21,-3247.9981021651824,0.22
P12_AC3_22,-3257.49001031814,0.22
P12_AC3_23,-3251.0395375622925,0.22
P12_AC3_24,-3267.0504839880887,0.22
P12_AC3_25,-3250.246226198658,0.22
P12_AC3_26,-3260.356141496599,0.22
P12_AC3_27,-3213.898353162001,0.22
P12_AC3_28,-3269.5948231330744,0.22
P12_AC3_29,-3256.411098178356,0.22
P12_AC3_30,-3241.59512485093,0.22
P12_AC3_31,-3219.2285083912657,0.22
P12_AC3_32,-3234.932910696682,0.22
P12_AC3_33,-3240.8988870479416,0.22
P12_AC3_34,-3249.767298515844,0.22
P12_AC3_35,-3241.805620561064,0.22
P12_AC3_36,-3273.7853874045954,0.22
P12_AC3_37,-3277.266821359536,0.22
P12_AC3_38,-3229.511019911831,0.22
P12_AC3_39,-3300.934731904237,0.22
P12_AC3_40,-3262.8414445638305,0.22
P12_AC3_41,-3264.1597177909807,0.22
P12_AC3_42,-3248.434305544417,0.22
P12_AC3_43,-3262.14314126323,0.22
P12_AC3_44,-3242.996686124061,0.22
P12_AC3_45,-3288.635775804914,0.22
P12_AC3_46,-3291.2684564597703,0.22
P12_AC3_47,-3246.2870678180657,0.22
P12_AC3_48,-3264.821988775879,0.22
P12_AC3_49,-3273.675210291582,0.22
P12_AC3_50,-3260.310360737348,0.22
P12_AC3_51,-3276.72417215371,0.22
P12_AC3_52,-3263.410410407795,0.22
P12_AC3_53,-3233.750192697221,0.22
P12_AC3_54,-3233.057579446732,0.22
P12_AC3_55,-3265.135892169126,0.22
P12_AC3_56,-3248.981779243461,0.22
P12_AC3_57,-3258.2715414844874,0.22
P12_AC3_58,-3252.93625992504,0.22
P12_AC3_59,-3255.9568356588707,0.22
P12_AC3_60,-3275.381662068139,0.22
P12_AC3_61,-3243.5837489743617,0.22
P12_AC3_62,-3249.3489214495867,0.22
P12_AC3_63,-3251.9054708358703,0.22
P12_AC3_64,-3261.160944568475,0.22
P12_AC3_65,-3256.7951891157563,0.22
P12_AC3_66,-3254.8452611339694,0.22
P12_AC3_67,-3276.4771501178743,0.22
P12_AC3_68,-3241.601440058381,0.22
P12_AC3_69,-3269.3965297014865,0.22
P12_AC3_70,-3245.070131730148,0.22
P12_AC3_71,-3255.180472687161,0.22
P12_AC3_72,-3282.5698805289626,0.22
P12_AC3_73,-3271.556713358901,0.22
P12_AC3_74,-3236.4882821702777,0.22
P12_AC3_75,-3242.48234001806,0.22
P12_AC3_76,-3256.026500691231,0.22
P12_AC3_77,-3306.074085080289,0.22
P12_AC3_78,-3294.3449532721847,0.22
P12_AC3_79,-3253.474154440099,0.22
P12_AC3_80,-3239.242485744154,0.22
P12_AC3_81,-3252.590192356047,0.22
P12_AC3_82,-3287.044567191829,0.22
P12_AC3_83,-3242.5547121503305,0.22
P12_AC3_84,-3266.588062668684,0.22
P12_AC3_85,-3274.296094072331,0.22
P12_AC3_86,-3246.1315438737065,0.22
P12_AC3_87,-3273.0546401458528,0.22
P12_AC3_88,-3294.0168383992395,0.22
P12_AC3_89,-3284.0246289135607,0.22
P12_AC3_90,-3270.71510028247,0.22
P12_AC3_91,-3258.7439785669053,0.22
P12_AC3_92,-3285.3075192412725,0.22
P12_AC3_93,-3260.6934462609765,0.22
P12_AC3_94,-3257.3786069254925,0.22
P12_AC3_95,-3251.354407063224,0.22
P12_AC3_96,-3238.9999196860285,0.22
P12_AC3_97,-3289.844206347475,0.22
P12_AC3_98,-3254.119353933708,0.22
P12_AC3_99,-3238.60504069152,0.22
P12_AC3_100,-3236.355292839059,0.22
