instance,energy,probability [%]
P12_CBFM-P_1,-6841.0,0.22
P12_CBFM-P_2,-6866.0,0.45
P12_CBFM-P_3,-6950.0,0.22
P12_CBFM-P_4,-6806.0,0.22
P12_CBFM-P_5,-6824.0,0.22
P12_CBFM-P_6,-6896.0,0.9
P12_CBFM-P_7,-6907.0,0.67
P12_CBFM-P_8,-6813.0,0.45
P12_CBFM-P_9,-6899.0,0.45
P12_CBFM-P_10,-6853.0,0.22
P12_CBFM-P_11,-6861.0,1.35
P12_CBFM-P_12,-6883.0,0.22
P12_CBFM-P_13,-6799.0,0.45
P12_CBFM-P_14,-6831.0,0.22
P12_CBFM-P_15,-6871.0,0.22
P12_CBFM-P_16,-6809.0,0.67
P12_CBFM-P_17,-6819.0,0.67
P12_CBFM-P_18,-6788.0,0.22
P12_CBFM-P_19,-6835.0,0.67
P12_CBFM-P_20,-6885.0,0.22
P12_CBFM-P_21,-6901.0,0.45
P12_CBFM-P_22,-6820.0,1.12
P12_CBFM-P_23,-6891.0,0.22
P12_CBFM-P_24,-6891.0,0.22
P12_CBFM-P_25,-6846.0,1.35
P12_CBFM-P_26,-6800.0,0.67
P12_CBFM-P_27,-6837.0,0.22
P12_CBFM-P_28,-6814.0,0.22
P12_CBFM-P_29,-6875.0,0.22
P12_CBFM-P_30,-6831.0,0.67
P12_CBFM-P_31,-6828.0,1.12
P12_CBFM-P_32,-6842.0,0.22
P12_CBFM-P_33,-6988.0,0.22
P12_CBFM-P_34,-6810.0,0.67
P12_CBFM-P_35,-6832.0,0.22
P12_CBFM-P_36,-6755.0,0.22
P12_CBFM-P_37,-6812.0,0.22
P12_CBFM-P_38,-6857.0,1.12
P12_CBFM-P_39,-6852.0,0.9
P12_CBFM-P_40,-6851.0,4.94
P12_CBFM-P_41,-6844.0,0.22
P12_CBFM-P_42,-6842.0,1.12
P12_CBFM-P_43,-6891.0,0.22
P12_CBFM-P_44,-6802.0,0.45
P12_CBFM-P_45,-6828.0,0.22
P12_CBFM-P_46,-6771.0,0.22
P12_CBFM-P_47,-6841.0,0.22
P12_CBFM-P_48,-6925.0,0.45
P12_CBFM-P_49,-6888.0,0.22
P12_CBFM-P_50,-6831.0,0.45
P12_CBFM-P_51,-6928.0,0.22
P12_CBFM-P_52,-6859.0,0.22
P12_CBFM-P_53,-6804.0,0.22
P12_CBFM-P_54,-6886.0,0.22
P12_CBFM-P_55,-6768.0,1.35
P12_CBFM-P_56,-6815.0,1.35
P12_CBFM-P_57,-6948.0,1.57
P12_CBFM-P_58,-6825.0,0.45
P12_CBFM-P_59,-6815.0,0.22
P12_CBFM-P_60,-6837.0,0.45
P12_CBFM-P_61,-6879.0,0.45
P12_CBFM-P_62,-6816.0,0.22
P12_CBFM-P_63,-6788.0,0.9
P12_CBFM-P_64,-6867.0,0.9
P12_CBFM-P_65,-6850.0,0.22
P12_CBFM-P_66,-6841.0,0.45
P12_CBFM-P_67,-6885.0,0.22
P12_CBFM-P_68,-6859.0,0.45
P12_CBFM-P_69,-6820.0,0.22
P12_CBFM-P_70,-6876.0,0.22
P12_CBFM-P_71,-6931.0,0.22
P12_CBFM-P_72,-6868.0,0.9
P12_CBFM-P_73,-6837.0,0.22
P12_CBFM-P_74,-6770.0,0.22
P12_CBFM-P_75,-6876.0,0.22
P12_CBFM-P_76,-6898.0,0.22
P12_CBFM-P_77,-6884.0,0.45
P12_CBFM-P_78,-6871.0,0.45
P12_CBFM-P_79,-6893.0,0.22
P12_CBFM-P_80,-6887.0,0.22
P12_CBFM-P_81,-6897.0,0.22
P12_CBFM-P_82,-6771.0,0.22
P12_CBFM-P_83,-6769.0,0.22
P12_CBFM-P_84,-6865.0,0.22
P12_CBFM-P_85,-6840.0,0.45
P12_CBFM-P_86,-6822.0,0.22
P12_CBFM-P_87,-6800.0,0.22
P12_CBFM-P_88,-6865.0,0.22
P12_CBFM-P_89,-6848.0,0.45
P12_CBFM-P_90,-6841.0,0.45
P12_CBFM-P_91,-6829.0,0.22
P12_CBFM-P_92,-6877.0,0.45
P12_CBFM-P_93,-6788.0,0.9
P12_CBFM-P_94,-6822.0,0.45
P12_CBFM-P_95,-6921.0,1.12
P12_CBFM-P_96,-6835.0,0.22
P12_CBFM-P_97,-6757.0,0.67
P12_CBFM-P_98,-6947.0,0.22
P12_CBFM-P_99,-6896.0,0.22
P12_CBFM-P_100,-6871.0,1.12
